archetype,deck,list_id,source,date,event,pilot,camp,category,confidence,regime,origin,verifier,verdict,reason,verifier_reason
blink,Esper Blink,modern-challenge-64-2026-05-2212842903#St1ffler,mtgo,2026-05-22,Modern Challenge 64,St1ffler,esper,false-negative,high,post,pass2,keep,"out: the four creatures together are the deck, not a signal from one","angle 1: Esper Blink with Flickerwisp cut: 4 Phelia, 4 Overlord of the Balemurk, 2 Witch Enchanter, 3 Ephemerate, 4 Solitude, 4 Thoughtseize, 4 Fatal Push, 4 Riddler, 2 Teferi on the Esper manabase, core overlap 0.96; only Flickerwisp keeps it out. Proposed rule: Drop Flickerwisp from the Blink signature (Phelia, Overlord, Witch Enchanter with the current off_colour and excluded lists): moves exactly 9 lists in (8 store, 1 paper), 0 members out.","angle 1 verifier: Re-read: 4 Phelia, 4 Overlord, 2 Witch Enchanter, 3 Ephemerate, 4 Solitude, 4 Thoughtseize, 4 Fatal Push, 4 Riddler, 2 Teferi, 2 Emperor of Bones on Watery Grave, no Flickerwisp, 10 blink creatures against a member minimum of 11 (518 members, all at Flickerwisp). Core overlap 0.96 reproduced. Dropping Flickerwisp from the signature moves exactly 9 in (8 store, 1 paper), 0 out, as measured."
blink,Esper Blink,modern-league-2026-06-0110628#JJ,mtgo,2026-06-01,Modern League,JJ,esper,false-negative,high,post,pass2,keep,"out: the four creatures together are the deck, not a signal from one","angle 1: 4 Phelia, 4 Overlord, 2 Witch Enchanter, 3 Ephemerate, 4 Solitude, 4 Frog, 4 Riddler, 2 Ketramose, 3 Erode (the Erode splash pass one cleared in JJ's member lists), no Flickerwisp; core overlap 0.92. Proposed rule: Drop Flickerwisp from the Blink signature: moves exactly 9 (8 store, 1 paper), 0 members out.","angle 1 verifier: Re-read: 61 cards, 4 Phelia, 4 Overlord, 2 Witch Enchanter, 3 Ephemerate, 4 Solitude, 4 Frog, 4 Riddler, 2 Ketramose, 3 Erode (white, no off-colour source), no Flickerwisp; core overlap 0.92 reproduced. JJ's other lists are members."
blink,Esper Blink,modern-league-2026-06-0110628#Svendkj2,mtgo,2026-06-01,Modern League,Svendkj2,orzhov,false-negative,medium,post,pass2,keep,"out: the four creatures together are the deck, not a signal from one","angle 1: Orzhov Ketramose blink: 4 Phelia, 4 Overlord, 2 Witch Enchanter, 3 Ephemerate, 4 Solitude, 4 Ketramose, 4 Relic of Progenitus, 4 Thoughtseize, 4 Fatal Push, no Flickerwisp. The Ketramose and Relic package sits in 32 members per pass one. Proposed rule: Drop Flickerwisp from the Blink signature: moves exactly 9 (8 store, 1 paper), 0 members out.","angle 1 verifier: Re-read: 4 Phelia, 4 Overlord, 2 Witch Enchanter, 3 Ephemerate, 4 Solitude, 4 Ketramose, 4 Relic, 4 Thoughtseize, 4 Fatal Push, 3 Emperor of Bones, no Flickerwisp, no Watery Grave so orzhov; Ketramose sits in 29 of 518 members and Relic in 18. Core overlap is 0.58, lower than the finder implied, because the core is the Esper manabase, but the Ketramose Orzhov package is cleared inside the deck by pass one."
blink,Esper Blink,modern-challenge-64-2026-06-2312845617#DB_cntrlfreak_ttv,mtgo,2026-06-23,Modern Challenge 64,DB_cntrlfreak_ttv,esper,false-negative,high,post,pass2,keep,"out: the four creatures together are the deck, not a signal from one","angle 1: 4 Phelia, 4 Overlord, 2 Witch Enchanter, 3 Ephemerate, 4 Solitude, 4 Frog, 4 Riddler, 4 Thoughtseize, no Flickerwisp; core overlap 0.92. Proposed rule: Drop Flickerwisp from the Blink signature: moves exactly 9 (8 store, 1 paper), 0 members out.","angle 1 verifier: Re-read: 4 Phelia, 4 Overlord, 2 Witch Enchanter, 3 Ephemerate, 4 Solitude, 4 Frog, 4 Riddler, 4 Thoughtseize, 3 Prismatic Ending, no Flickerwisp; core overlap 0.92 reproduced. Same rule, 9 in, 0 out."
blink,Esper Blink,modern-league-2026-06-2410847#Outsid3r,mtgo,2026-06-24,Modern League,Outsid3r,orzhov,false-negative,medium,post,pass2,keep,"in: under five off-colour cards, lands excluded, and no playset is a splash","angle 1: All four creatures (4 Phelia, 3 Flickerwisp, 4 Overlord, 4 Witch Enchanter), 3 Ephemerate, 4 Solitude, 4 Thoughtseize, 4 Fatal Push, tripped by a single Sacred Foundry beside an Arid Mesa with no red card in the 75. Proposed rule: Read Blink's off_colour only when the off-colour sources total 3 or more copies: moves exactly 6 store lists (9086, 18729, 20821, 20948, 21385, 22625), 0 paper, 0 members out; the Mardu lists on 5 to 6 sources (8231, 17954, 18117, 18873) and the Abzan pair on 3 (23190, 23237) stay out.","angle 1 verifier: Re-read: 61 cards, 4 Phelia, 3 Flickerwisp, 4 Overlord, 4 Witch Enchanter, 3 Ephemerate, 4 Solitude, 4 Thoughtseize, 4 Fatal Push; off-colour is 1 Sacred Foundry beside 1 Arid Mesa and no red card in the 75 (side: White Orchid Phantom, Wrath, Damping Sphere, Deafening Silence, Spellbomb, Celestial Purge, Clarion Conqueror, Cage). Off_colour floor of 3 copies moves exactly 6 store lists (9086, 18729, 20821, 20948, 21385, 22625), 0 paper, 0 out, as measured; the Mardu lists 8231 (5 sources, 4 Discharge, 3 Ragavan) and 17954, 18117, 18873 (6 sources, 4 Discharge) and the Abzan pair 23190, 23237 (3 sources, 4 Siege Rhino) stay out, verified."
blink,Esper Blink,modern-challenge-96-2026-06-2912845943#Zuin,mtgo,2026-06-29,Modern Challenge 96,Zuin,esper,false-negative,high,post,pass2,keep,"out: the four creatures together are the deck, not a signal from one","angle 1: 4 Phelia, 4 Overlord, 3 Witch Enchanter, 3 Ephemerate, 4 Solitude, 4 Riddler, 4 Thoughtseize, 2 Frog, no Flickerwisp; core overlap 0.96. Proposed rule: Drop Flickerwisp from the Blink signature: moves exactly 9 (8 store, 1 paper), 0 members out.","angle 1 verifier: Re-read: 4 Phelia, 4 Overlord, 3 Witch Enchanter, 3 Ephemerate, 4 Solitude, 4 Riddler, 4 Thoughtseize, 2 Frog, 2 Emperor of Bones, no Flickerwisp; 11 blink creatures, inside the member range; core overlap 0.96 reproduced."
blink,Esper Blink,modern-challenge-64-2026-07-2412848190#JJ,mtgo,2026-07-24,Modern Challenge 64,JJ,orzhov,false-negative,medium,post,pass2,keep,"in: under five off-colour cards, lands excluded, and no playset is a splash","angle 1: JJ's Orzhov Vial list (4 Vial, 4 Ephemerate, all four creatures at 4, 4 Solitude, 4 Thoughtseize, 2 Recruiter) tripped by one Overgrown Tomb and one Lush Portico whose only green card is a sideboard Gaddock Teeg; his 19847, 9056, 20774, 21376 and 10049 are pass-one-cleared members. Proposed rule: Off_colour read only at 3 or more source copies: moves exactly 6 store lists, 0 paper, 0 members out.","angle 1 verifier: Re-read: 61 cards, 4 Vial, 4 Ephemerate, all four creatures at 4, 4 Solitude, 4 Thoughtseize, 2 Recruiter; 1 Overgrown Tomb and 1 Lush Portico (2 sources) with the only green card 1 sideboard Gaddock Teeg, verified. The floor of 3 is what admits it; a floor of 2 moves the other 5 and leaves this one out, as measured."
blink,Esper Blink,modern-league-2026-07-2910847#koskadelli,mtgo,2026-07-29,Modern League,koskadelli,orzhov,false-negative,medium,post,pass2,keep,"in: under five off-colour cards, lands excluded, and no playset is a splash","angle 1: All four creatures, 3 Ephemerate, 4 Solitude, 4 Ketramose, 4 Relic, 4 White Orchid Phantom, tripped by one Sacred Foundry with no red card in the 75. Proposed rule: Off_colour read only at 3 or more source copies: moves exactly 6 store lists, 0 paper, 0 members out.","angle 1 verifier: Re-read: all four creatures (4, 3, 4, 4), 3 Ephemerate, 4 Solitude, 4 Ketramose, 4 Relic, 4 White Orchid Phantom; 1 Sacred Foundry, no red card in the 75. Floor-3 rule verified."
blink,Esper Blink,modern-league-2026-07-3110847#meanfannypack,mtgo,2026-07-31,Modern League,meanfannypack,orzhov,false-negative,medium,post,pass2,keep,"in: under five off-colour cards, lands excluded, and no playset is a splash","angle 1: Orzhov Vial blink (4 Vial, 3 Recruiter, all four creatures, 3 Ephemerate, 4 Solitude), tripped by one Temple Garden whose only green card is a sideboard Gaddock Teeg; the pilot's 20824 is a pass-one-cleared member. Proposed rule: Off_colour read only at 3 or more source copies: moves exactly 6 store lists, 0 paper, 0 members out.","angle 1 verifier: Re-read: 4 Vial, 3 Recruiter, all four creatures (4, 3, 4, 4), 3 Ephemerate, 4 Solitude; 1 Temple Garden whose only green card is 1 sideboard Gaddock Teeg, verified. Floor-3 rule verified."
blink,Esper Blink,modern-league-2026-08-0810847#TheRealStormCrow,mtgo,2026-08-08,Modern League,TheRealStormCrow,orzhov,false-negative,medium,post,pass2,keep,"in: under five off-colour cards, lands excluded, and no playset is a splash","angle 1: Orzhov Vial blink (4 Aether Vial, 3 Recruiter of the Guard, all four creatures, 2 Ephemerate, 4 Solitude) on 62 cards, tripped by one Sacred Foundry with no red card in the 75; the same shape as JJ's Vial lists pass one kept. Proposed rule: Off_colour read only at 3 or more source copies: moves exactly 6 store lists, 0 paper, 0 members out.","angle 1 verifier: Re-read: 62 cards (at the ceiling, still read), 4 Aether Vial, 3 Recruiter of the Guard, all four creatures (4, 3, 4, 4), 2 Ephemerate, 4 Solitude; 1 Sacred Foundry, no red card in the 75 (side: Thoughtseize, Wrath, End of the Hunt, High Noon, Interrupter, Containment Priest). The Orzhov Vial shape pass one kept (7 of 518 members run Vial). Floor-3 rule verified."
blink,Esper Blink,modern-league-2026-08-0910847#Xcuchep,mtgo,2026-08-09,Modern League,Xcuchep,esper,false-negative,medium,post,pass2,keep,"out: the four creatures together are the deck, not a signal from one","angle 1: 4 Phelia, 4 Overlord, 3 Witch Enchanter, 2 Ephemerate, 4 Solitude, 4 Frog, 3 Riddler, 2 Force of Negation, 2 Bowmasters, no Flickerwisp; core overlap 0.88. A Frog-heavier Esper Blink; the same 61 republished as 22712. Proposed rule: Drop Flickerwisp from the Blink signature: moves exactly 9 (8 store, 1 paper), 0 members out.","angle 1 verifier: Re-read: 61 cards, 4 Phelia, 4 Overlord, 3 Witch Enchanter, 2 Ephemerate, 4 Solitude, 4 Frog, 3 Riddler, 2 Force of Negation, 2 Bowmasters, no Flickerwisp; 11 blink creatures; core overlap 0.88 reproduced. Mainboard identical to 22712."
