archetype,deck,list_id,source,date,event,pilot,camp,category,confidence,regime,origin,verifier,verdict,reason,verifier_reason
goryos,Goryo's,modern-league-2026-07-1410847#GabbaAndrewTeam,mtgo,2026-07-14,Modern League,GabbaAndrewTeam,non-fallaji,hybrid,high,post,both,keep,exclude: Persist is its own deck,"An Esper Persist reanimator engine (3 Persist, 2 Archon of Cruelty, 2 Emeritus of Ideation, 1 Emperor of Bones, 3 Dina's Guidance) beside a cut Goryo's core of 3 Goryo's Vengeance, 2 Atraxa, 3 Ephemerate and no Griselbrand; it is one of only two members at 2 Atraxa and under 4 Goryo's Vengeance, and the only two holding any Persist card.",
goryos,Goryo's,modern-league-2026-07-1710847#chapaking8,mtgo,2026-07-17,Modern League,chapaking8,non-fallaji,hybrid,high,post,both,keep,exclude: Persist is its own deck,"The same Persist package (3 Persist, 2 Archon of Cruelty, 2 Emeritus of Ideation, 1 Emperor of Bones, 3 Dina's Guidance) over 3 Goryo's Vengeance, 2 Atraxa and no Griselbrand, three days after 19894; the pilot's two June league lists (17369, 18272) are a pure 4 Persist and 4 Frog deck with no Goryo's Vengeance, which confirms this is his Persist deck merged with Goryo's.",
goryos,Goryo's,modern-challenge-64-2026-07-2012847717#ador,mtgo,2026-07-20,Modern Challenge 64,ador,non-fallaji,hybrid,medium,post,both,drop,keep: hybrid whose engine is Goryo's,"A Goryo's list carrying Blink's package (3 Phelia, Exuberant Shepherd, 3 Overlord of the Balemurk, 2 Witch Enchanter) on 19 lands with no Griselbrand, Thoughtseize or Faithful Mending, straddling Goryo's and Esper Blink and distorting the non-fallaji land count and staple readings.","Dropped against both passes: the whole Goryo's engine is intact at 4 Goryo's Vengeance, 4 Atraxa, 4 Ephemerate, 4 Solitude, 4 Psychic Frog and 4 Quantum Riddler, and the docs already rule that a Goryo's list carrying Blink's package is Goryo's, so 3 Phelia, 3 Overlord of the Balemurk and 2 Witch Enchanter replacing Griselbrand, Thoughtseize and Faithful Mending on 19 lands reads as one pilot's 4-3 experiment inside the same engine rather than a second deck."
goryos,Goryo's,melee:6500791c-61b8-4f75-8aae-b4bc00202f97,melee,2026-09-05,Spotlight Dallas,Malikrobinson93,fallaji,hybrid,high,post,both,keep,exclude: Woodland Omniscience combo,"A four-colour Shifting Woodland Omniscience combo deck (4 Shifting Woodland, 3 Omniscience, 4 Malevolent Rumble, 2 Awaken the Honored Dead, 1 Nexus of Fate, 3 Flare of Denial) bolted onto the Goryo's reanimation core (4 Goryo's Vengeance, 4 Atraxa, 4 Fallaji Archaeologist, 1 Griselbrand) with a single Ephemerate and no Solitude, so the blink half the rule stands on is absent; both passes called it different-deck, I call it a two-combo hybrid because the full Goryo's reanimation core is intact, and either way it stays out.",
blink,Esper Blink,modern-league-2026-07-2510847#taku123,mtgo,2026-07-25,Modern League,taku123,esper,different-deck,high,post,both,keep,exclude: Overlords enchantment deck,"Post-ban: Estrid's Invocation 4, Overlord of the Floodpits 4, Momentum Breaker 4, Hopeless Nightmare 4 and Prismatic Ending 4 with no Ephemerate, Thoughtseize, Fatal Push, Quantum Riddler, Teferi or Emperor of Bones is an Esper Overlords enchantment deck carrying the four blink creatures, and the pilot's 11683 a week earlier is the same Floodpits and Momentum Breaker deck on Heartless Summoning without Flickerwisp or Balemurk.",
blink,Esper Blink,,mtgo,2026-03-01,Modern League,dabigatran,esper,hybrid,medium,pre,both,keep,exclude: energy engine is a different deck,"Pre-ban: Guide of Souls 4 and Ocelot Pride 4 in place of Fatal Push, Emperor of Bones and Prismatic Ending beside a full Esper shell (Ephemerate 4, Quantum Riddler 4, Thoughtseize 4, Teferi 3) is the weakest of the four Guide lists, but eight energy engine creatures is the same package the Jeppebc and TOP_AI lists carry and a pilot would call it energy blink; kept for consistency with the Guide of Souls exclusion, at medium rather than high.",
blink,Esper Blink,,mtgo,2026-03-02,Modern Challenge 32,JJ,orzhov,hybrid,medium,pre,both,keep,exclude: Stoneblade,"Pre-ban: Stoneforge Mystic 4 with Kaldra Compleat, Meteor Sword, Lion Sash and Dissection Tools, Aether Vial 3 and Emptiness 4 with no Ephemerate and Thoughtseize sideboarded is an Orzhov Stoneblade package on the blink creatures; the pilot's later Vial lists (19847 onward) drop the equipment and run Ephemerate 4 and are the Orzhov version, which this is not.",
blink,Esper Blink,,mtgo,2026-03-29,Modern League,Jeppebc,orzhov,hybrid,medium,pre,both,keep,exclude: energy engine is a different deck,"Pre-ban: Guide of Souls 4, Ocelot Pride 4 and Ranger-Captain of Eos 2 on Windswept Heath 4 and Idyllic Grange 2 with no Ephemerate and Witch Enchanter down to 2 is the pilot's February white energy-blink deck (12467, Guide, Ocelot, Ranger-Captain, no Balemurk or Flickerwisp) after it picked up Balemurk and black, a hybrid rather than the blink deck.",
blink,Esper Blink,,mtgo,2026-04-10,Modern League,Jeppebc,orzhov,hybrid,medium,pre,both,keep,exclude: energy engine is a different deck,"Pre-ban: the identical mainboard to 13848 (Guide of Souls 4, Ocelot Pride 4, Ranger-Captain of Eos 2, no Ephemerate, Witch Enchanter 2) republished with a changed sideboard; same hybrid, and two rows is two lists, so it is quarantined on its own content and not as a duplicate.",
blink,Esper Blink,modern-league-2026-05-2210628#TOP_AI#2,mtgo,2026-05-22,Modern League,TOP_AI,orzhov,hybrid,medium,post,both,keep,exclude: energy engine is a different deck,"Post-ban: Guide of Souls 4, Ocelot Pride 4, Starfield Shepherd 3 and Decorum Dissertation 2 (13 energy cards) beside the blink suite with Ephemerate, Flickerwisp and Thoughtseize each cut to 2 is an Orzhov energy-blink hybrid, and the same pilot's 18662 a month later is stock Esper Blink with none of them; its Bloodstained Mire fetches no red source and is not the reason.",
